tracking_id	locus	nearest_ref_id	class_code	transcript_length	T1a	T1b	T2	T3	N1	N2
Gene_04555	chr1:64310195-64342370	NM_001083592	i		0	0	0	0	0	1
Gene_04556	chr1:64464044-64473082	NM_001083592	i		55	26	46	11	63	67
Gene_04557	chr1:64643991-64644049	NM_005012	c		189	187	394	953	361	153
Gene_04558	chr1:65279520-65298497	NM_018211	c		0	0	0	8	1	1
Gene_04559	chr1:65691878-65692122	NM_001005353	c		65	47	21	12	115	49
Gene_04560	chr1:65855068-65855108	NM_014787	c		99	97	247	103	140	81
Gene_04561	chr1:65876863-65876980	NM_014787	e		0	0	0	0	8	0
Gene_04562	chr1:65891001-65895591	NM_017526	c		439	457	0	7	0	0
Gene_04563	chr1:65895653-65895700	NM_017526	c		1	0	23	0	0	0
Gene_04564	chr1:65897513-65897919	NM_017526	c		5	2	15	22	7	15
Gene_04565	chr1:65898786-65898860	NM_017526	c		9	18	15	28	224	26
Gene_04566	chr1:65898947-65899030	NM_017526	c		1	0	0	0	0	1
Gene_04567	chr1:65900296-65900409	NM_017526	c		45	30	111	178	213	52
Gene_04568	chr1:66100017-66100061	NM_001003679	c		0	0	0	0	0	5
Gene_04569	chr1:67199562-67199602	NM_032291	e		1	14	1	0	16	11
Gene_04570	chr1:67391825-67391865	NM_020948	c		478	543	1811	1097	1381	631
Gene_04571	chr1:67411928-67412080	NM_020948	e		13	16	26	53	11	4
Gene_04572	chr1:67424530-67424642	NM_020948	e		50	30	98	79	34	56
Gene_04573	chr1:67428775-67428817	NM_020948	c		251	141	120	32	219	128
Gene_04574	chr1:67436486-67436643	NM_020948	e		0	0	2	915	0	3
Gene_04575	chr1:67438574-67438664	NM_020948	e		48	48	240	93	642	87
Gene_04576	chr1:67447459-67450399	NM_020948	e		6	7	23	37	15	8
Gene_04577	chr1:67451543-67451583	NM_020948	c		0	0	1	0	0	2
Gene_04578	chr1:67452569-67452681	NM_020948	c		69	83	489	191	381	185
Gene_04579	chr1:67453425-67453598	NM_020948	c		172	172	450	238	162	63
Gene_04580	chr1:67453755-67453802	NM_020948	c		44	39	81	51	52	39
Gene_04581	chr1:67855737-67855803	NM_001559	c		41	28	74	23	112	111
Gene_04582	chr1:70664887-70675951	NM_004768	o		1	3	0	0	2	0
Gene_04583	chr1:70687308-70687352	NM_004768	c		491	368	1455	629	1144	637
Gene_04584	chr1:70694125-70694225	NM_004768	c		8	1	36	14	8	10
Gene_04585	chr1:70697812-70698046	NM_004768	e		35	61	62	70	110	88
Gene_04586	chr1:70700377-70700458	NM_004768	e		0	0	0	2	0	0
Gene_04587	chr1:70703175-70703229	NM_004768	c		55	38	97	75	97	83
Gene_04588	chr1:70716860-70716921	NM_004768	c		143	208	308	279	564	175
Gene_04589	chr1:70833312-70833605	NM_001031693	c		66	48	41	61	59	29
Gene_04590	chr1:70905054-70905139	NM_153742	c		6	10	8	52	7	17
Gene_04591	chr1:75214465-75214589	NM_001162916	e		0	2	0	0	0	0
Gene_04592	chr1:75218021-75229662	NM_001162916	c		0	0	2	0	0	0
Gene_04593	chr1:75218021-75229662	NM_001162916	c		38	25	72	48	18	31
Gene_04594	chr1:75229724-75229854	NM_001162916	c		74	69	226	67	221	86
Gene_04595	chr1:75230508-75230722	NM_001162916	c		4	3	2	5	9	3
Gene_04596	chr1:75231344-75231396	NM_001162916	c		32	74	199	133	94	86
Gene_04597	chr1:75338206-75340572	-	-		309	64	49	399	11	348
Gene_04598	chr1:75614277-75614317	NM_001001933	c		371	291	40	6	3	8
Gene_04599	chr1:76198559-76198599	NM_001127328	c		3	0	5	0	1	2
Gene_04600	chr1:76199235-76199316	NM_001127328	e		3	7	3	8	14	6
Gene_04601	chr1:76215129-76215248	NM_001127328	e		4	1	30	45	0	24
Gene_04602	chr1:76253092-76253219	NM_004582	e		63	34	377	209	134	173
Gene_04603	chr1:76253554-76253619	NR_002749	=		4	5	58	90	44	38
Gene_04604	chr1:76254850-76254930	NM_004582	c		0	0	2	1	0	1
Gene_04605	chr1:76256889-76257016	NM_004582	e		0	0	0	0	9	0
Gene_04606	chr1:76257091-76257987	NM_004582	e		57	47	45	14	10	14
Gene_04607	chr1:76260293-76260424	NM_004582	c		189	429	378	213	355	280
Gene_04608	chr1:76667933-76681428	NM_001160011	i		2	0	6	0	2	1
Gene_04609	chr1:77528751-77529081	NM_030965	c		3	3	39	21	0	5
Gene_04610	chr1:77529469-77529585	NM_030965	c		142	75	178	245	136	101
Gene_04611	chr1:77752706-77752785	NM_012093	c		15	7	17	0	19	12
Gene_04612	chr1:77759581-77763404	NM_012093	c		13	17	169	54	46	33
Gene_04613	chr1:77759581-77763404	NM_012093	c		4	14	22	20	0	6
Gene_04614	chr1:77876681-77876748	NM_012093	c		144	160	267	320	251	162
Gene_04615	chr1:77883355-77883402	NM_012093	e		39	32	55	22	125	60
Gene_04616	chr1:77948996-77949046	NM_012093	e		2	0	0	0	1	0
Gene_04617	chr1:77987586-78001635	NM_012093	c		346	229	367	219	928	647
Gene_04618	chr1:78024509-78024738	NM_012093	c		406	346	1896	1211	848	1020
Gene_04619	chr1:78025286-78025341	NM_012093	c		0	3	12	5	1	2
Gene_04620	chr1:78248932-78249034	NM_198549	c		44	119	190	108	90	66
Gene_04621	chr1:78267051-78267188	NM_198549	c		168	241	822	517	318	306
Gene_04622	chr1:78326958-78327010	NM_198549	e		91	68	498	237	874	269
Gene_04623	chr1:78338703-78338770	NM_198549	c		139	147	165	100	150	113
Gene_04624	chr1:78340975-78341016	NM_198549	c		25	33	77	200	114	21
Gene_04625	chr1:78341229-78341276	NM_198549	c		32	14	54	33	33	82
Gene_04626	chr1:78341360-78341487	NM_198549	c		2	1	2	1	4	1
Gene_04627	chr1:78381761-78381803	NM_001172309	c		115	109	114	61	143	209
Gene_04628	chr1:78383666-78383707	NM_001172309	c		7	20	35	39	48	20
Gene_04629	chr1:78383816-78394902	NM_001172309	j		282	235	299	1450	575	416
Gene_04630	chr1:78399071-78408283	NM_001172309	j		0	0	0	0	1	1
Gene_04631	chr1:78399071-78408283	NM_001172309	c		0	0	7	0	0	99
Gene_04632	chr1:78408431-78408487	NM_001172309	c		10	9	48	16	25	6
Gene_04633	chr1:78408585-78408735	NM_001172309	c		3	1	4	1	0	3
Gene_04634	chr1:78470959-78471048	NM_007034	e		1499	894	16703	3853	3658	2645
Gene_04635	chr1:78478732-78478805	NM_007034	e		1	0	26	3	0	2
Gene_04636	chr1:78479033-78479216	NM_007034	c		365	280	3032	1116	630	178
Gene_04637	chr1:78481695-78482263	NM_007034	e		49	42	199	176	165	160
Gene_04638	chr1:78958320-78958498	NM_001039585	e		6	4	61	268	128	148
Gene_04639	chr1:78958791-78958836	NM_001039585	c		59	52	0	15	391	74
Gene_04640	chr1:78958896-78958944	NM_001039585	c		5	10	16	0	6	6
Gene_04641	chr1:78963620-78963661	NM_001039585	e		149	59	212	182	205	188
Gene_04642	chr1:78967305-78984311	NM_001039585	i		173	202	618	751	312	179
Gene_04643	chr1:78967305-78984311	NM_001039585	i		0	3	1	0	2	0
Gene_04644	chr1:79002569-79002766	NM_001039585	c		20	28	111	77	0	7
Gene_04645	chr1:79003147-79003451	NM_001039585	c		34	52	200	111	201	30
Gene_04646	chr1:79003840-79003998	NM_001039585	c		174	149	552	483	332	398
Gene_04647	chr1:79004097-79004209	NM_001039585	c		109	53	233	51	113	75
Gene_04648	chr1:79004309-79004394	NM_001039585	c		40	30	72	65	130	79
Gene_04649	chr1:79004556-79004615	NM_001039585	c		50	47	156	69	102	44
Gene_04650	chr1:79004961-79005127	NM_001039585	c		17	21	93	77	33	31
Gene_04651	chr1:79005190-79005625	NM_001039585	c		21	14	53	42	88	36
Gene_04652	chr1:79095526-79095566	NM_006820	c		74	28	113	10	65	64
Gene_04653	chr1:79107466-79107578	NM_006820	c		1	1	2	3	2	1
Gene_04654	chr1:79109968-79110018	NM_006820	c		122	129	116	78	40	24
Gene_04655	chr1:79110107-79110174	NM_006820	c		13	13	54	12	3	6
Gene_04656	chr1:79110458-79110607	NM_006820	c		521	915	877	1589	1483	398
Gene_04657	chr1:79121074-79121144	NM_006417	c		6	2	4	6	0	1
Gene_04658	chr1:79124910-79125121	NM_006417	e		8	14	8	32	16	40
Gene_04659	chr1:79126003-79126614	NM_006417	e		13	0	77	0	16	5
Gene_04660	chr1:79128465-79129030	NM_006417	e		23	31	103	21	76	18
Gene_04661	chr1:79129195-79129502	NM_006417	e		52	36	41	12	33	21
Gene_04662	chr1:79129554-79129665	NM_006417	c		114	137	493	186	165	83
Gene_04663	chr1:82302669-82302735	NM_012302	c		307	445	812	702	677	322
Gene_04664	chr1:82402443-82402483	NM_012302	c		37	42	54	131	93	24
Gene_04665	chr1:82408709-82408789	NM_012302	c		0	0	1	0	0	1
Gene_04666	chr1:82408867-82409396	NM_012302	c		14	13	4	16	7	14
Gene_04667	chr1:82415916-82416014	NM_012302	c		0	0	3	5	0	0
Gene_04668	chr1:82417715-82417755	NM_012302	c		16	6	2	0	0	3
Gene_04669	chr1:82434897-82434937	NM_012302	c		105	79	271	225	149	127
Gene_04670	chr1:82534116-82536087	-	-		129	138	439	391	748	156
Gene_04671	chr1:83622011-83636842	-	-		0	0	4	0	0	0
Gene_04672	chr1:84543951-84544048	NM_207578	c		8	4	9	0	5	5
Gene_04673	chr1:84647915-84648006	NM_207578	c		0	0	0	0	0	1
Gene_04674	chr1:84662296-84662404	NM_207578	e		419	259	83	108	47	1
Gene_04675	chr1:84703758-84703906	NM_002731	c		0	0	11	0	0	6
Gene_04676	chr1:84948629-84956155	NM_025065	c		76	44	149	121	111	58
Gene_04677	chr1:84961620-84961691	NM_025065	c		240	168	76	17	33	15
Gene_04678	chr1:84964027-84964220	NM_025065	o		2	0	1	0	0	0
Gene_04679	chr1:84991714-84991838	NM_001081472	e		1	0	3	0	4	7
Gene_04680	chr1:85021500-85021630	NM_001081472	e		22	3	112	5	10	7
Gene_04681	chr1:85031522-85031611	NM_001081472	e		151	168	1080	688	206	189
Gene_04682	chr1:85592352-85592475	NM_145172	e		12	22	27	0	5	22
Gene_04683	chr1:85965915-85977551	-	-		37	26	20	21	51	6
Gene_04684	chr1:86047545-86063338	NM_001554	c		2	2	1	1	0	7
Gene_04685	chr1:86047545-86063338	NM_001554	c		53	40	118	26	38	45
Gene_04686	chr1:86047545-86063338	NM_001554	c		39	29	65	71	225	77
Gene_04687	chr1:86047545-86063338	NM_001554	c		5	1	3	0	52	4
Gene_04688	chr1:86047545-86063338	NM_001554	c		0	0	0	0	0	7
Gene_04689	chr1:86047545-86063338	NM_001554	c		69	78	80	49	121	39
Gene_04690	chr1:87170482-87170523	NM_016009	c		929	729	1177	1060	2043	1428
Gene_04691	chr1:87181427-87181535	NM_016009	c		0	0	1	0	2	1
Gene_04692	chr1:87200755-87200846	NM_016009	e		59	65	73	351	13	11
Gene_04693	chr1:87207931-87207988	NM_016009	c		6	1	0	0	1	5
Gene_04694	chr1:87208826-87209107	NM_016009	c		2659	2278	2301	2703	22754	4035
Gene_04695	chr1:87209847-87209895	NM_016009	c		56	26	42	200	68	13
Gene_04696	chr1:87210033-87210082	NM_016009	c		0	0	0	0	5	1
Gene_04697	chr1:87210421-87210582	NM_016009	c		0	10	33	255	365	140
Gene_04698	chr1:87210774-87211200	NM_016009	c		24	26	60	10	33	16
Gene_04699	chr1:87211642-87212259	NM_016009	c		27	30	33	39	293	33
Gene_04700	chr1:87212403-87212684	NM_016009	c		3	5	19	2	0	1
Gene_04701	chr1:87212872-87212934	NM_016009	c		20	9	29	30	10	10
Gene_04702	chr1:87213088-87213504	NM_016009	c		184	119	1133	459	278	135
Gene_04703	chr1:87213569-87213768	NM_016009	c		1	0	1	0	0	0
Gene_04704	chr1:87538618-87538810	NM_001134492	c		409	582	2306	1423	1098	613
Gene_04705	chr1:87558220-87563585	NM_001134492	c		489	457	790	1263	1555	567
Gene_04706	chr1:87569230-87570195	NM_012262	c		54	65	204	88	32	61
Gene_04707	chr1:87570470-87570619	NM_012262	c		2	1	3	0	0	0
Gene_04708	chr1:87570727-87571048	NM_012262	c		131	128	127	54	356	97
Gene_04709	chr1:87571173-87571230	NM_012262	c		91	71	138	138	155	97
Gene_04710	chr1:87572563-87572603	NM_012262	c		60	62	101	68	192	160
Gene_04711	chr1:87572679-87572720	NM_012262	c		49	9	61	13	105	50
Gene_04712	chr1:87572978-87573026	NM_012262	c		67	67	140	82	124	97
Gene_04713	chr1:87573079-87573125	NM_012262	c		0	0	1	0	0	0
Gene_04714	chr1:87574413-87574456	NM_012262	c		0	0	0	0	0	1
Gene_04715	chr1:87574546-87574683	NM_012262	c		164	370	207	838	300	171
Gene_04716	chr1:87575022-87575085	NM_012262	c		134	116	502	180	36	82
Gene_04717	chr1:87794767-87794827	NM_006769	c		40	8	43	14	42	40
Gene_04718	chr1:87805787-87805845	NM_006769	c		2	1	2	2	0	0
Gene_04719	chr1:87810589-87810677	NM_006769	c		28	33	133	54	60	13
Gene_04720	chr1:87810871-87811152	NM_006769	c		0	0	1	0	0	0
Gene_04721	chr1:87811377-87811477	NM_006769	c		0	0	0	0	0	2
Gene_04722	chr1:87811782-87811865	NM_006769	c		560	336	468	2006	916	1278
Gene_04723	chr1:87812577-87812627	NM_006769	c		47	4	0	0	0	0
Gene_04724	chr1:87812713-87812963	NM_006769	c		0	0	2	0	0	0
Gene_04725	chr1:87813176-87813222	NM_006769	c		5	3	577	35	3	20
Gene_04726	chr1:89237108-89237222	NM_006256	c		105	42	587	407	192	346
Gene_04727	chr1:89250313-89250430	NM_006256	e		162	134	111	177	431	192
Gene_04728	chr1:89270163-89270307	NM_006256	e		17	19	12	15	24	6
Gene_04729	chr1:89271223-89271278	NM_006256	c		102	64	106	88	139	181
Gene_04730	chr1:89273363-89273421	NM_006256	e		266	149	173	101	325	101
Gene_04731	chr1:89279357-89279415	NM_006256	c		32	13	14	4	44	22
Gene_04732	chr1:89294161-89294371	NM_006256	e		40	29	25	0	52	120
Gene_04733	chr1:89298272-89298786	NM_006256	e		0	0	63	2315	11	58
Gene_04734	chr1:89298927-89299194	NM_006256	o		1	1	3	9	3	0
Gene_04735	chr1:89299828-89300057	NM_006256	c		4	1	9	0	12	1
Gene_04736	chr1:89300595-89300727	NM_006256	c		0	0	3	26	0	0
Gene_04737	chr1:89300923-89301011	NM_006256	c		6	2	5	1	0	2
Gene_04738	chr1:90178479-90178539	NM_032270	c		19	3	41	29	42	2
Gene_04739	chr1:90178670-90178747	NM_032270	c		21	38	104	79	79	92
Gene_04740	chr1:90179128-90179186	NM_032270	c		175	83	390	94	105	131
Gene_04741	chr1:90180043-90180096	NM_032270	c		170	194	432	262	493	290
Gene_04742	chr1:90180190-90180306	NM_032270	c		0	0	0	1	0	0
Gene_04743	chr1:90180518-90180623	NM_032270	c		4	59	6089	510	322	1683
Gene_04744	chr1:90180838-90181072	NM_032270	c		0	0	5	3	11	9
Gene_04745	chr1:90181160-90181220	NM_032270	c		1	0	0	0	0	0
Gene_04746	chr1:90182670-90182714	NM_032270	c		0	0	1	0	0	0
Gene_04747	chr1:90183948-90183990	NM_032270	c		15	8	21	16	7	3
Gene_04748	chr1:90184789-90184845	NM_032270	c		46	47	673	187	58	64
Gene_04749	chr1:90398787-90398957	NM_001134479	c		9	2	13	24	0	0
Gene_04750	chr1:90399240-90399387	NM_001134479	c		0	0	0	0	88	11
Gene_04751	chr1:90400161-90400400	NM_001134479	c		2	1	17	7	2	4
Gene_04752	chr1:90400547-90400598	NM_001134479	c		1	7	17	41	7	6
Gene_04753	chr1:90401480-90401520	NM_001134479	c		1	0	25	11	14	87
Gene_04754	chr1:90471189-90471235	NM_182975	c		90	108	140	100	306	67
Gene_04755	chr1:90484240-90493232	NM_182976	e		38	22	67	33	27	25
Gene_04756	chr1:90484240-90493232	NM_182976	e		4	2	6	21	6	3
Gene_04757	chr1:90493687-90493739	NM_182976	c		339	292	1539	481	402	246
Gene_04758	chr1:90493999-90494082	NM_182976	c		78	90	97	3	76	49
Gene_04759	chr1:91977161-91977243	NM_001134420	c		21	23	23	13	34	22
Gene_04760	chr1:91978812-91978863	NM_001134420	c		1035	1412	4051	7131	4138	2648
Gene_04761	chr1:91980468-91980538	NM_001134420	c		203	64	38	0	0	7
Gene_04762	chr1:91981346-91981404	NM_001134420	e		44	54	60	25	183	58
Gene_04763	chr1:91989722-91989849	NM_001134420	c		45	29	153	124	83	92
Gene_04764	chr1:91990959-91991003	NM_001134420	c		7	5	19	1	6	7
Gene_04765	chr1:91991203-91991249	NM_001134420	c		13	8	9	11	3	63
Gene_04766	chr1:92108076-92108228	NR_003130	e		136	134	302	1228	1085	284
Gene_04767	chr1:92108510-92108639	NR_003130	c		53	41	240	358	140	202
Gene_04768	chr1:92642676-92642730	NM_015237	c		22	13	54	12	20	13
Gene_04769	chr1:92646058-92646098	NM_015237	c		1	0	0	0	0	0
Gene_04770	chr1:92789163-92789355	NM_024813	c		653	571	1195	980	1817	1242
Gene_04771	chr1:92789634-92789683	NM_024813	c		35	83	227	79	95	35
Gene_04772	chr1:92838702-92857127	NM_024813	o		20	20	20	8	17	6
Gene_04773	chr1:92992665-93001441	-	-		11	9	31	7	39	25
Gene_04774	chr1:93301756-93303189	NM_000969	c		286	200	1018	1182	1011	442
Gene_04775	chr1:93544857-93544929	NM_001164393	c		0	0	0	0	0	2
Gene_04776	chr1:93575901-93575941	NM_001164392	c		101	143	571	303	251	344
Gene_04777	chr1:93581133-93581173	NM_001164393	c		6	4	12	15	53	19
Gene_04778	chr1:93594863-93594904	NM_001164393	c		138	213	580	317	360	373
Gene_04779	chr1:93602277-93602400	NM_001164393	c		1	0	0	4	6	6
Gene_04780	chr1:93603968-93604015	NM_001164393	c		1	3	4	4	0	2
Gene_04781	chr1:93649527-93649572	NM_206886	e		2	0	2	0	0	1
Gene_04782	chr1:93662532-93680400	NM_206886	c		0	0	4	8	1	0
Gene_04783	chr1:93687187-93687497	NM_206886	e		226	219	713	347	405	310
Gene_04784	chr1:93701842-93705012	NM_206886	c		0	1	6	3	6	35
Gene_04785	chr1:93705256-93705340	NM_206886	c		1	1	1	0	0	0
Gene_04786	chr1:93711629-93712463	NM_206886	e		220	168	491	291	433	164
Gene_04787	chr1:93720057-93721984	NM_206886	c		84	24	4	32	17	38
Gene_04788	chr1:93826763-93826999	NM_001938	c		32	5	0	0	0	1
Gene_04789	chr1:93828038-93828143	NM_001938	c		12	4	12	0	3	8
Gene_04790	chr1:93913769-93913809	NM_017737	c		48	56	234	87	52	35
Gene_04791	chr1:93988926-93989024	NM_017737	c		44	44	180	289	254	153
Gene_04792	chr1:93989796-93996370	NM_017737	e		2	2	41	12	17	11
Gene_04793	chr1:94014913-94016644	NM_017737	c		17	19	25	11	18	21
Gene_04794	chr1:94017613-94017653	NM_001024948	c		4	1	4	9	267	9
Gene_04795	chr1:94017766-94017827	NM_001024948	c		0	0	0	0	0	14
Gene_04796	chr1:94018420-94018836	NM_017737	c		0	0	2	0	3	0
Gene_04797	chr1:94019276-94019319	NM_017737	c		0	0	0	0	0	3
Gene_04798	chr1:94019376-94019551	NM_017737	c		7	29	143	11	168	153
Gene_04799	chr1:94933490-94933554	NM_001122674	c		3	0	2	0	0	1
Gene_04800	chr1:94939318-94940762	NM_001122674	c		44	38	236	101	250	247
Gene_04801	chr1:94946002-94946155	NM_002858	e		1	0	0	0	0	1
Gene_04802	chr1:94955330-94955370	NM_002858	c		48	41	74	87	65	63
Gene_04803	chr1:94964157-94964233	NM_002858	o		0	0	1	0	0	0
Gene_04804	chr1:94965100-94965154	NM_002858	c		80	47	72	108	239	174
Gene_04805	chr1:94982626-94982669	NM_002858	c		2	1	4	9	0	0
Gene_04806	chr1:94983299-94983355	NM_002858	c		8	8	220	27	34	43
Gene_04807	chr1:94983548-94983642	NM_002858	c		34	37	38	56	14	43
Gene_04808	chr1:94983807-94984013	NM_002858	c		1	0	0	0	0	0
Gene_04809	chr1:95357965-95358051	NM_001114106	c		29	22	64	67	72	20
Gene_04810	chr1:95658128-95658168	NM_152487	c		0	0	0	0	0	1
Gene_04811	chr1:95658222-95658291	NM_152487	c		232	167	223	216	481	355
Gene_04812	chr1:95658622-95658665	NM_152487	c		32	29	120	80	91	43
Gene_04813	chr1:95710163-95710291	NM_001128142	e		73	55	232	139	323	43
Gene_04814	chr1:97216977-97217044	NM_021190	e		0	0	1	4	1	0
Gene_04815	chr1:97235271-97235418	NM_021190	c		3	3	4	1	2	3
Gene_04816	chr1:97243137-97243314	NM_021190	e		256	73	97	14	51	184
Gene_04817	chr1:97279364-97279405	NM_021190	c		183	125	2008	152	426	1225
Gene_04818	chr1:97279817-97279911	NM_021190	c		27	2	81	4	7	8
Gene_04819	chr1:97606201-97617215	-	-		22	9	73	14	10	22
Gene_04820	chr1:97982262-97987069	-	-		18	3	7	3	12	7
Gene_04821	chr1:98332952-98347482	-	-		7	5	16	1	8	22
Gene_04822	chr1:99157131-99157196	NM_015976	c		370	645	19	8	1	81
Gene_04823	chr1:99164284-99164447	NM_015976	c		400	433	599	916	1363	397
Gene_04824	chr1:99167352-99167437	NM_015976	e		0	1	0	0	0	0
Gene_04825	chr1:99203821-99203936	NM_015976	c		0	0	16	15	1	1
Gene_04826	chr1:99764587-99764750	NM_001166252	e		13	11	22	37	33	35
Gene_04827	chr1:99771358-99771398	NM_001166252	c		4	16	2	4	19	5
Gene_04828	chr1:99771987-99772027	NM_001166252	c		37	28	271	38	45	22
Gene_04829	chr1:99772126-99772191	NM_001166252	c		1022	1083	2526	2840	3579	992
Gene_04830	chr1:99772323-99772539	NM_001166252	c		11	16	38	85	6	23
Gene_04831	chr1:99772702-99772795	NM_001166252	c		16	9	27	53	10	9
Gene_04832	chr1:99773408-99773451	NM_001166252	c		144	154	176	3	104	47
Gene_04833	chr1:99773581-99773655	NM_001166252	c		209	125	149	556	228	81
Gene_04834	chr1:99773747-99773946	NM_001166252	c		0	0	0	1	0	3
Gene_04835	chr1:99774105-99774185	NM_001166252	c		459	340	387	1033	830	563
Gene_04836	chr1:99774300-99774502	NM_001166252	c		4	7	12	0	8	5
Gene_04837	chr1:100327832-100327915	NM_000646	c		84	100	395	307	184	438
Gene_04838	chr1:100330082-100330144	NM_000646	c		35	15	53	48	120	90
Gene_04839	chr1:100336068-100336117	NM_000646	c		12	5	20	12	17	20
Gene_04840	chr1:100343241-100343358	NM_000646	c		69	70	126	593	148	75
Gene_04841	chr1:100346216-100346276	NM_000646	c		2	3	7	3	7	0
Gene_04842	chr1:100346338-100346380	NM_000646	e		58	42	155	101	106	108
Gene_04843	chr1:100347100-100347176	NM_000646	c		43	19	45	10	54	9
Gene_04844	chr1:100350232-100350272	NM_000646	e		10	4	11	8	5	12
Gene_04845	chr1:100353604-100353672	NM_000646	e		40	30	554	175	291	115
Gene_04846	chr1:100356785-100356917	NM_000646	c		63	42	0	0	393	325
Gene_04847	chr1:100366192-100366308	NM_000646	c		572	799	780	957	0	10
Gene_04848	chr1:100376336-100376394	NM_000646	c		1420	887	2968	1883	2269	2242
Gene_04849	chr1:100389284-100389331	NM_000646	c		46	43	30	77	69	158
Gene_04850	chr1:100389439-100389549	NM_000646	c		9	4	9	23	5	10
Gene_04851	chr1:100480872-100480961	NM_012243	c		7	5	0	4	0	16
Gene_04852	chr1:100548302-100548508	NM_033055	c		0	0	1	0	0	0
Gene_04853	chr1:100605960-100606054	NM_019083	e		0	0	1	0	1	1
Gene_04854	chr1:100606469-100606559	NM_019083	c		138	157	2027	5028	746	198
Gene_04855	chr1:100613446-100613490	NM_019083	e		339	367	411	357	445	337
Gene_04856	chr1:100613694-100613883	NM_019083	e		38	45	95	246	5	174
Gene_04857	chr1:100614177-100614266	NM_019083	e		21	25	2	14	81	57
Gene_04858	chr1:100614616-100614706	NM_019083	c		8	8	68	2	33	11
Gene_04859	chr1:100614783-100614823	NM_019083	c		2	8	12	13	16	19
Gene_04860	chr1:100615583-100615686	NM_019083	c		0	0	13	29	5	5
Gene_04861	chr1:100736114-100736238	NM_001130841	e		15	9	28	4	3	3
Gene_04862	chr1:100740378-100740518	NM_001130841	e		3	6	9	14	5	5
Gene_04863	chr1:100750764-100750879	NM_001130841	e		85	151	50	308	346	69
Gene_04864	chr1:100752701-100752741	NM_001130841	c		2	2	2	70	5	0
Gene_04865	chr1:101188640-101188744	NM_001078	c		27	29	8	21	28	9
Gene_04866	chr1:101188814-101188898	NM_001078	e		6	17	85	364	0	34
Gene_04867	chr1:101194655-101194704	NM_001078	e		11	13	8	64	26	41
Gene_04868	chr1:101194795-101194890	NM_001078	c		1	3	4	5	8	2
Gene_04869	chr1:101196802-101196915	NM_001078	c		0	0	1	0	0	0
Gene_04870	chr1:101196973-101197072	NM_001078	c		31	30	90	201	237	59
Gene_04871	chr1:101198164-101198239	NM_001078	c		0	1	0	2	2	16
Gene_04872	chr1:101200110-101200324	NM_001078	o		21	4	30	3	32	21
Gene_04873	chr1:101203715-101203804	NM_001078	c		39	38	98	127	34	40
Gene_04874	chr1:101204393-101204530	NM_001078	c		427	172	610	1522	277	403
Gene_04875	chr1:101440715-101440826	NM_133496	c		7	11	24	16	83	17
Gene_04876	chr1:101441948-101441996	NM_133496	c		14	10	6	10	6	6
Gene_04877	chr1:101442216-101442395	NM_133496	c		3	0	7	0	0	0
Gene_04878	chr1:101442646-101442702	NM_133496	c		95	75	1	2	0	1
Gene_04879	chr1:101445018-101445196	NM_133496	c		0	0	2	0	0	7
Gene_04880	chr1:101445505-101445609	NM_133496	c		123	125	230	510	409	179
Gene_04881	chr1:101445761-101445872	NM_133496	c		3	4	0	1	127	6
Gene_04882	chr1:101446185-101446351	NM_133496	c		0	3	7	0	0	9
Gene_04883	chr1:101446448-101446548	NM_133496	c		59	94	61	106	146	91
Gene_04884	chr1:101446858-101447010	NM_133496	c		0	0	0	0	5	0
Gene_04885	chr1:101705077-101705134	NM_001400	c		44	54	111	19	153	45
Gene_04886	chr1:103500673-103515833	-	-		915	810	2266	3043	1315	622
Gene_04887	chr1:104068615-104068883	NM_017619	c		22	37	58	39	34	0
Gene_04888	chr1:104077429-104078012	NM_017619	c		35	10	48	12	23	19
Gene_04889	chr1:104078774-104080006	NM_017619	c		0	0	1	0	0	0
Gene_04890	chr1:104083985-104084025	NM_017619	c		2359	1530	9380	853	3348	7619
Gene_04891	chr1:104087700-104087755	NM_017619	e		2	5	20	8	8	18
Gene_04892	chr1:107690703-107690893	NM_001113226	c		533	595	1647	734	1055	1330
Gene_04893	chr1:107867054-107867115	NM_001113226	c		121	62	278	91	247	204
Gene_04894	chr1:107867263-107867319	NM_001113226	c		145	136	173	207	291	70
Gene_04895	chr1:109128230-109128984	NM_001010883	i		0	3	64	15	65	16
Gene_04896	chr1:109172231-109172280	NM_001010883	e		210	181	325	178	351	101
Gene_04897	chr1:109177812-109177918	NM_001010883	c		1	0	1	0	0	0
Gene_04898	chr1:109179640-109179693	NM_001010883	c		96	112	846	654	291	657
Gene_04899	chr1:109180468-109180616	NM_001010883	c		0	0	49	0	57	165
Gene_04900	chr1:109238336-109238710	NM_018061	c		32	13	55	55	12	6
Gene_04901	chr1:109241192-109241444	NM_018061	e		63	69	219	141	65	34
Gene_04902	chr1:109242997-109243216	NM_018061	c		45	31	168	430	138	34
Gene_04903	chr1:109243872-109244041	NM_018061	c		5	5	26	0	46	14
Gene_04904	chr1:109244190-109244299	NM_018061	c		0	0	0	0	0	4
Gene_04905	chr1:109289336-109294943	NM_007269	e		17	2	15	11	8	4
Gene_04906	chr1:109295678-109295786	NM_007269	e		16	13	92	105	52	31
Gene_04907	chr1:109315346-109315405	NM_007269	c		8	5	47	146	30	2
Gene_04908	chr1:109321937-109322087	NM_007269	e		6	3	17	1	28	13
